Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"Conquest Design Group","Conquest Design Group Pte Ltd","'+65 9101 7723",junquan.conquestdesign@gmail.com,"18 Boon Lay Way, 01-13 @ Tradehub 21, Singapore 609966","HDB (BTO)",Asian,30001-50000,"<p>At Conquest Design Group PTE LTD, we believe in more than just interiors — we believe in purpose. “Design your dream, Live your purpose” is our guiding philosophy. We create bespoke, thoughtfully crafted homes tailored to each homeowner’s unique vision — because every dream home should be as individual as its owner.</p>
<p>Beyond design, we offer a platform for aspiring professionals to grow. With the right support, training and opportunities, we empower individuals to discover their strengths and build meaningful careers. Whether you’re a homeowner or a career seeker, Conquest Design Group PTE LTD is where dreams are designed — and purpose is lived.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/conquest-design-group/,https://renoresearch.sg/wp-content/uploads/2025/07/Conquest-Design-Group-Logo.png,"Conquest Design Group Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Conquest-Design-Group-Logo.png
"Empyrean Design Studio","Empyrean Design Studio Pte Ltd","'+65 9635 5552",enquiry@empyreandesign.sg,"33 Ubi Ave 3, #01-17 Vertex, Singapore 408868","HDB (BTO)",Asian,30001-50000,"<p>Empyrean believes a home is more than a space. It’s a statement of who you are, your lifestyle and your artistry. Our seasoned designers and craftsmen combine timeless aesthetics with modern function. Every detail shows refined taste. From bespoke renovations to high-end interiors, we transform visions into homes that inspire.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-10,member-list,https://renoresearch.sg/member-list/empyrean-design-studio/,https://renoresearch.sg/wp-content/uploads/2025/07/Empyrean-Design-Studio-Logo.png,"Empyrean Design Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Empyrean-Design-Studio-Logo.png
"Caddo Design","Caddo Design Pte. Ltd.","'+65 8035 0627",enquiry@caddodesign.sg,"71, Bukit Batok Cresent, #08-01 Prestige Centre, Singapore 658071","HDB (BTO)",Asian,30001-50000,"<p>Being impactful and deliver delicate of every aspects of interior design through positive innovation and creativity.<br />
<br class=""html-br"" />致力分享精致，美丽的室内设计</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-14,member-list,https://renoresearch.sg/member-list/caddo-design/,https://renoresearch.sg/wp-content/uploads/2025/07/Caddo-Design-Logo.png,"Caddo Design Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Caddo-Design-Logo.png
"Reno Affy","Reno Affy Pte Ltd","'+65 8333 0118",info@renoaffy.com.sg,"319 CHOA CHU KANG AVENUE 3 #02-17 MI CASA, Singapore 689863","HDB (BTO)",Asian,30001-50000,"<p>We specialize in custom carpentry and cabinetry solutions that elevate the functionality and style of your living spaces. With a strong focus on quality craftsmanship and client satisfaction, we offer a full suite of services—including custom kitchen cabinets, material consultation, 3D design &amp; space planning, precise on-site measurement &amp; installation and reliable repair &amp; maintenance.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-14,member-list,https://renoresearch.sg/member-list/reno-affy/,https://renoresearch.sg/wp-content/uploads/2025/07/Reno-Affy-Logo.png,"Reno Affy Logo",https://renoresearch.sg/wp-content/uploads/2025/07/Reno-Affy-Logo.png
"QB CONCEPT","QB CONCEPT PTE LTD","'+65 8368 8087",info.qbconcept@gmail.com,"1 SOON LEE STREET #06-19 PIONEER CENTRE, SINGAPORE 627605","HDB (BTO)",Asian,30001-50000,"<p>Turning walls into wow — we bring your renovation vision to life! 💖</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-17,member-list,https://renoresearch.sg/member-list/qb-concept/,https://renoresearch.sg/wp-content/uploads/2025/07/QB-Concept-Logo.png,"QB Concept Logo",https://renoresearch.sg/wp-content/uploads/2025/07/QB-Concept-Logo.png
"AW Woodcraft","AW Woodcraft Pte Ltd","'+65 9226 1780",alvin@awwoodcraft.com.sg,"11 Woodland Close #05-06, Singapore 737853","HDB (BTO)",Asian,30001-50000,"<p>At AW Woodcraft &amp; Associates, we have our team of over 20 individual with many years of experience!</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-22,member-list,https://renoresearch.sg/member-list/aw-woodcraft/,https://renoresearch.sg/wp-content/uploads/2025/07/AW-Woodcraft-Logo.png,"AW Woodcraft Logo",https://renoresearch.sg/wp-content/uploads/2025/07/AW-Woodcraft-Logo.png
"RenoBricks Interior","RenoBricks Interior Pte Ltd","'+65 8878 2868",sales@renobricksinterior.com.sg,"1 Yishun Street 23, #04-47 Yishun, Singapore 768441","HDB (BTO)",Asian,30001-50000,"<p>Services we provide : -Local in-house carpentry. -Free Consultation &amp; Quotation -Hacking/Dismantle works -Floor tiles / vinyl -Design consultation -Interior design -Space planning -Project coordinator -Project management -Renovation works -Electrical service -Plumbing service -Painting service -Kitchen cabinets / tabletop -Glass panel / casement / sliding doors</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-22,member-list,https://renoresearch.sg/member-list/renobricks-interior/,https://renoresearch.sg/wp-content/uploads/2025/07/RenoBricks-Interior-Logo.png,"RenoBricks Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/07/RenoBricks-Interior-Logo.png
"REDEFINE INTERIOR DESIGN","REDEFINE INTERIOR DESIGN PTE LTD","'+65 9859 5689",admin@redefineid.com,"421 Tagore Industrial Ave, Tagore 8 #01-25, Singapore 787805","HDB (BTO)",Asian,30001-50000,"<p>At Redefine Interior Design, we are passionate about transforming spaces into inspiring environments that reflect the unique vision and lifestyle of our clients. With a commitment to exceptional design, quality craftsmanship and personalized service, we work closely with you to bring your dream spaces to life. Whether it's creating a warm and welcoming home or a dynamic and functional workspace, our goal is to deliver interiors that elevate everyday living and leave a lasting impression.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-07-30,member-list,https://renoresearch.sg/member-list/redefine-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/07/REDEFINE-INTERIOR-DESIGN-PTE-LTD-Logo.png,"REDEFINE INTERIOR DESIGN PTE LTD Logo",https://renoresearch.sg/wp-content/uploads/2025/07/REDEFINE-INTERIOR-DESIGN-PTE-LTD-Logo.png
"Momentous Interior","Momentous Interior P/L","'+65 8855 6611",enquiries@momentous-interior.sg,"11 Woodlands Close, #05-02 Woodlands 11, Singapore 737853","HDB (BTO)",Asian,30001-50000,"<p>At Momentous Interior, creativity knows no bounds. Our team of seasoned designers, architects, tech-savvy experts and craftsmen blend artistry with functionality and technology, curating bespoke solutions tailored to each client’s unique preferences and lifestyle. From residential sanctuaries to commercial marvels, we specialize in crafting spaces that captivate the senses and elevate the human experience. Together with our in-house team of visionary designers, skilled craftsmen and tech-savvy experts who collaborate seamlessly to transform concepts into reality.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-08-04,member-list,https://renoresearch.sg/member-list/momentous-interior/,https://renoresearch.sg/wp-content/uploads/2025/08/Momentous-Interior-Logo.png,"Momentous Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/08/Momentous-Interior-Logo.png
"SG Creative Design","SG Creative Design Pte Ltd","'+65 8954 7375 / +65 9682 7568",hq.sgcreative@gmail.com,"317 Outram Road, Concorde Shopping Centre, #02-46, Singapore 169075","HDB (BTO)",Asian,30001-50000,"<p>We offer innovative services, quality workmanship and pioneers in modern design concepts with the latest trends and styles in interior design.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-08-11,member-list,https://renoresearch.sg/member-list/sg-creative-design/,https://renoresearch.sg/wp-content/uploads/2025/08/SG-Creative-Design-Logo.png,"SG Creative Design Logo",https://renoresearch.sg/wp-content/uploads/2025/08/SG-Creative-Design-Logo.png
"NICHE KONCEPT","NICHE KONCEPT PTE LTD","'+65 8608 3413",admin@nichekoncept.com,"65 Ubi Crescent, Hola Centre, #07-04, Singapore 408559","HDB (BTO)",Asian,30001-50000,"<p>Niche Koncept is a professional interior design consultancy that aims to turn your dream space into reality. Any living space can turn into a modern work of art with the help of an eye for the bigger picture. We will provide you with personalised design consultations to discuss how you can realise your colourful ideas, carefully considering your wants and needs, including your budget, and even make suggestions to complement your ideas.</p>
<p>We also offer various parallel services to maximise your space and find matching furniture that lets your vision stand out. We take great pride in seeing your joy when everything comes together harmoniously.</p>
<p>After all, Designing Your Perfect Space is our promise.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-08-11,member-list,https://renoresearch.sg/member-list/niche-koncept/,https://renoresearch.sg/wp-content/uploads/2025/08/Niche-Koncept-Logo.png,"Niche Koncept Logo",https://renoresearch.sg/wp-content/uploads/2025/08/Niche-Koncept-Logo.png
"Ricordo Interior","Ricordo Interior Pte Ltd","'+65 9850 5800",ricordointerior@gmail.com,"55 Serangoon North Ave 4, #04-08 S9 Building, Singapore 555859","HDB (BTO)",Asian,30001-50000,"<p>Bringing your dream home into vision.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-08-21,member-list,https://renoresearch.sg/member-list/ricordo-interior/,https://renoresearch.sg/wp-content/uploads/2025/08/Ricordo-Interior-Logo.png,"Ricordo Interior Logo",https://renoresearch.sg/wp-content/uploads/2025/08/Ricordo-Interior-Logo.png
"Style + Space Interior Design","Style + Space Interior Design Pte Ltd","'+65 9437 6122",thomas@style-plus-space.com,"Blk 128 Ang Mo Kio Ave 3 #01-1837, Singapore 560128","HDB (BTO)",Asian,30001-50000,"<p>Style + Space Interior Design is an award-winning Interior Design Company based in Singapore that offers a wide selection of reasonably packaged residential interior design services to homeowners. As a trusted company, we hold a firm belief that space has an explicit impact on the homeowners.</p>
<p>Over the past twenty years, our company has handled various design projects, gradually transforming living rooms and bedrooms with our minimalist designs. Our interior designers are experienced project managers and have the know-how to combine function and style, which create an ideal living space.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-08-21,member-list,https://renoresearch.sg/member-list/style-space-interior-design/,https://renoresearch.sg/wp-content/uploads/2025/08/Style-Space-ID-Logo.png,"Style + Space ID Logo",https://renoresearch.sg/wp-content/uploads/2025/08/Style-Space-ID-Logo.png
"S+R Builders","S+R Builders Pte. Ltd.","'+65 9626 9225",splusr.bagus@gmail.com,"42 Chai Chee Street, #04-54, Singapore 461042","HDB (BTO)",Asian,30001-50000,"<p>At S+R Builders, we specialize in creating stunning, functional spaces that reflect the unique personality and needs of each client. Our team of expert designers combines creativity, precision and a deep understanding of design principles to transform residential and commercial interiors. Whether you’re looking to revamp a single room or undertake a full-scale renovation, we offer personalized solutions that blend style, comfort and practicality. With a keen eye for detail and a commitment to excellence, S+R Builders ensures that every project not only meets but exceeds expectations, delivering spaces that are both beautiful and timeless.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-09-08,member-list,https://renoresearch.sg/member-list/sr-builders/,https://renoresearch.sg/wp-content/uploads/2025/09/SR-Builders-Logo.png,"S+R Builders Logo",https://renoresearch.sg/wp-content/uploads/2025/09/SR-Builders-Logo.png
"2nd Phase Design Interior Studio","2nd Phase Design Interior Studio","'+65 9009 1119",info@2ndphasedesign.com,"1016 Geylang East Ave 3, #01-145, Singapore 389731","HDB (BTO)",Asian,30001-50000,"<div class=""elementor-element elementor-element-58e5884 elementor-widget elementor-widget-heading animated fadeInUp"" data-id=""58e5884"" data-element_type=""widget"" data-settings=""{&quot;_animation&quot;:&quot;fadeInUp&quot;}"" data-widget_type=""heading.default"">
<div class=""elementor-widget-container"">
<h2 class=""elementor-heading-title elementor-size-default"">Transforming Spaces, Enhancing Lives</h2>
</div>
</div>
<div class=""elementor-element elementor-element-e75c198 elementor-widget__width-initial elementor-widget elementor-widget-text-editor"" data-id=""e75c198"" data-element_type=""widget"" data-widget_type=""text-editor.default"">
<div class=""elementor-widget-container"">
<p><strong>2nd Phase Design </strong>was formed with the vision of helping you realized your ideas and create your dream home. Our vision is to be a one-stop Interior Design Centre, providing you with convenience and the most efficient way of creating your dream home. We provide you with outstanding customer service and quality workmanship, all at the reasonable price, without compromising on the standards.</p>
<p>Our mission is to create lifestyle homes for our clients. These homes adopt the aura of luxury and practicality. We strive in making our projects not just houses but homes that our clients want.</p>
<p>Our creative interior designers and dedicated project co-coordinators always place our customers; interests and satisfaction as their top priority. We provide a wide range of services, before during and post renovation to ensure total customer satisfaction. We believe in providing quality work because we are only satisfied when you are.</p>
<p>We specialize all major and minor building construction projects, addition &amp; alterations projects and renovation projects. Design considerations include space planning, lighting, color and furniture as well as the final use of the space.</p>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2025-09-08,member-list,https://renoresearch.sg/member-list/2nd-phase-design-interior-studio/,https://renoresearch.sg/wp-content/uploads/2025/09/2nd-Phase-Design-Interior-Studio-Logo.png,"2nd Phase Design Interior Studio Logo",https://renoresearch.sg/wp-content/uploads/2025/09/2nd-Phase-Design-Interior-Studio-Logo.png
